Race,,Dist,500,Time,01:52.6
Split,Time,Secs,Vel,SR,
25,7.08,7.08,3.53,119.63,
50,12.04,4.96,5.04,128.48,
75,17,4.96,5.04,129.87,
100,22.14,5.14,4.87,122.17,
125,27.35,5.21,4.8,120.24,
150,32.65,5.3,4.72,118.94,
175,38.07,5.42,4.61,114.5,
200,43.57,5.5,4.55,113.21,
225,49.18,5.61,4.46,111.57,
250,54.83,5.66,4.42,111.94,
275,01:00.5,5.69,4.4,111.52,
300,01:06.2,5.67,4.41,110.66,
325,01:11.9,5.71,4.37,110.5,
350,01:17.6,5.75,4.35,112.27,
375,01:23.4,5.72,4.37,112.36,
400,01:29.2,5.79,4.32,111.32,
425,01:34.9,5.78,4.32,111.34,
450,01:40.8,5.8,4.31,110.5,
475,01:46.6,5.85,4.27,109.89,
500,01:52.6,5.96,4.2,109.89,
Av,,5.63,4.47,115.04,
