Race,,Dist,200m,Time,37.78
Split,Time,Secs,Vel,SR,
25,6.17,6.17,4.05,143.84,
50,10.48,4.31,5.8,150,
75,14.74,4.26,5.87,147.14,
100,19.04,4.3,5.82,143.54,
125,23.51,4.47,5.6,135.68,
150,28.12,4.61,5.42,134.66,
175,32.84,4.72,5.3,129.81,
200,37.78,4.94,5.06,116.79,
Av,,4.72,5.36,137.68,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
