Race,,Dist,200m,Time,44.62
Split,Time,Secs,Vel,SR,
25,7.44,7.44,3.36,121.21,
50,12.51,5.07,4.93,131.87,
75,17.63,5.11,4.89,127.39,
100,22.88,5.25,4.76,123.71,
125,28.16,5.28,4.73,121.62,
150,33.5,5.34,4.68,120,
175,39.01,5.52,4.53,115.83,
200,44.62,5.61,4.46,112.5,
Av,,5.58,4.54,121.77,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
