Race,,Dist,500,Time,01:50.6
Split,Time,Secs,Vel,SR,
25,6.9,6.9,3.63,118.18,
50,11.67,4.77,5.24,137.61,
75,16.52,4.85,5.16,131.29,
100,21.44,4.92,5.08,129.5,
125,26.47,5.04,4.96,125,
150,31.64,5.17,4.84,121.08,
175,36.91,5.26,4.75,120.72,
200,42.3,5.39,4.64,118.16,
225,47.74,5.44,4.59,116.5,
250,53.27,5.54,4.51,116.73,
275,58.77,5.5,4.55,116.63,
300,01:04.4,5.6,4.46,116.73,
325,01:10.0,5.62,4.45,117.19,
350,01:15.6,5.65,4.43,117.42,
375,01:21.4,5.71,4.38,114.72,
400,01:27.1,5.78,4.32,115.38,
425,01:32.9,5.73,4.37,114.5,
450,01:38.7,5.79,4.32,114.72,
475,01:44.6,5.9,4.23,113.85,
500,01:50.6,6.06,4.13,112.82,
Av,,5.53,4.55,119.44,
