Race,,Dist,1000,Time,04:19.0
Split,Time,Secs,Vel,SR,
25,7,7,3.57,122.99,
50,12.27,5.27,4.75,126.58,
75,17.65,5.38,4.65,120.24,
100,23.16,5.51,4.53,115.38,
125,28.7,5.54,4.51,111.32,
150,34.42,5.71,4.38,111.34,
175,40.37,5.96,4.2,109.09,
200,46.52,6.15,4.07,105.45,
225,52.62,6.1,4.1,102.47,
250,58.86,6.24,4.01,103.45,
275,01:05.2,6.37,3.92,99.83,
300,01:11.5,6.31,3.96,97.83,
325,01:18.0,6.44,3.88,97.65,
350,01:24.4,6.38,3.92,96.15,
375,01:30.6,6.2,4.03,95.05,
400,01:37.0,6.41,3.9,93.9,
425,01:43.6,6.59,3.79,93.1,
450,01:50.1,6.56,3.81,94.08,
475,01:56.6,6.46,3.87,93.43,
500,02:02.7,6.13,4.08,93.43,
525,02:09.1,6.36,3.93,93.43,
550,02:15.7,6.64,3.76,92.78,
575,02:22.4,6.69,3.73,93.9,
600,02:29.4,6.96,3.59,93.1,
625,02:36.0,6.62,3.78,91.68,
650,02:42.7,6.75,3.7,94.19,
675,02:49.8,7.05,3.54,92.31,
700,02:56.7,6.93,3.61,84.77,
725,03:03.5,6.76,3.7,94.08,
750,03:10.1,6.62,3.78,96,
775,03:17.1,7,3.57,91.74,
800,03:23.8,6.67,3.75,92.15,
825,03:30.7,6.88,3.63,93.6,
850,03:37.4,6.76,3.7,91.53,
875,03:44.2,6.79,3.68,88.52,
900,03:51.1,6.95,3.6,90.63,
925,03:58.0,6.87,3.64,89.11,
950,04:04.9,6.9,3.63,90.15,
975,04:11.7,6.83,3.66,85.58,
1000,04:19.0,7.26,3.44,81.69,
Av,,6.47,3.88,97.59,
