Race,,Dist,500,Time,01:22.3
Split,Time,Secs,Vel,SR,
25,6.2,6.2,4.03,132.2,
50,9.88,3.68,6.8,156.52,
75,13.42,3.55,7.05,152.38,
100,16.98,3.55,7.04,150.94,
125,20.56,3.59,6.97,148.94,
150,24.29,3.73,6.71,143.28,
175,28.13,3.84,6.5,139.94,
200,32.03,3.89,6.42,137.93,
225,35.98,3.95,6.32,136.75,
250,40,4.02,6.22,136.36,
275,44.04,4.04,6.18,134.45,
300,48.12,4.08,6.13,133.33,
325,52.22,4.1,6.1,133.7,
350,56.39,4.17,5.99,134.08,
375,01:00.6,4.21,5.94,134.08,
400,01:04.9,4.25,5.88,133.33,
425,01:09.2,4.33,5.78,131.51,
450,01:13.5,4.36,5.74,131.39,
475,01:17.9,4.34,5.76,131.87,
500,01:22.3,4.39,5.71,129.19,
Av,,4.11,6.16,138.11,
