Race,,Dist,500,Time,01:33.5
Split,Time,Secs,Vel,SR,
25,6.58,6.58,3.8,126.62,
50,10.68,4.11,6.09,147.95,
75,14.67,3.98,6.28,145.95,
100,18.72,4.05,6.18,141.18,
125,22.87,4.16,6.01,135.34,
150,27.14,4.27,5.86,131.87,
175,31.53,4.39,5.69,129.03,
200,35.93,4.4,5.68,128.57,
225,40.43,4.5,5.55,126.32,
250,45.02,4.58,5.46,126.17,
275,49.69,4.67,5.35,124.71,
300,54.38,4.69,5.33,123.08,
325,59.12,4.74,5.28,123.01,
350,01:03.9,4.77,5.25,124.14,
375,01:08.7,4.8,5.21,124.42,
400,01:13.6,4.92,5.08,124.71,
425,01:18.5,4.92,5.08,122.73,
450,01:23.4,4.92,5.08,122.45,
475,01:28.4,4.99,5.01,123.2,
500,01:33.5,5.06,4.95,120.54,
Av,,4.67,5.41,128.6,
