Race,,Dist,200m,Time,43.83
Split,Time,Secs,Vel,SR,
25,7.83,7.83,3.19,129.12,
50,12.76,4.93,5.07,149.66,
75,17.67,4.91,5.09,147.32,
100,22.69,5.02,4.98,139.24,
125,27.82,5.13,4.87,136.93,
150,33.02,5.2,4.81,133.93,
175,38.39,5.37,4.66,132.26,
200,43.83,5.45,4.59,132.26,
Av,,5.48,4.66,137.59,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
