Race,,Dist,500m,Time,01:32.2
Split,Time,Secs,Vel,SR,
25,6.30,6.30,3.97,129,
50,10.38,4.08,6.12,142,
75,14.42,4.04,6.19,139,
100,18.56,4.14,6.04,134,
125,22.74,4.18,5.98,130,
150,27.02,4.28,5.83,128,
175,31.43,4.41,5.66,126,
200,35.91,4.48,5.58,125,
225,40.47,4.56,5.49,121,
250,45.03,4.56,5.48,121,
275,49.6,4.57,5.47,121,
300,54.2,4.60,5.43,121,
325,58.84,4.64,5.38,120,
350,01:03.6,4.76,5.25,119,
375,01:08.5,4.85,5.15,118,
400,01:13.1,4.65,5.37,119,
425,01:17.7,4.57,5.47,119,
450,01:22.3,4.65,5.37,118,
475,01:27.2,4.88,5.12,117,
500,01:32.2,5.01,5,115,
Av,,4.61,5.47,124,
