Race,,Dist,500,Time,01:43.0
Split,Time,Secs,Vel,SR,
25,6.59,6.59,3.79,124.4,
50,11.08,4.49,5.57,142.18,
75,15.6,4.52,5.53,138.46,
100,20.26,4.65,5.37,134.23,
125,24.97,4.71,5.31,132.68,
150,29.8,4.83,5.17,130.43,
175,34.67,4.87,5.13,127.66,
200,39.64,4.97,5.03,126.17,
225,44.68,5.05,4.96,124.48,
250,49.86,5.17,4.83,122.17,
275,55.02,5.17,4.84,120.97,
300,01:00.3,5.25,4.76,120.81,
325,01:05.6,5.3,4.72,121.21,
350,01:10.9,5.28,4.73,120.97,
375,01:16.1,5.26,4.75,120.27,
400,01:21.4,5.23,4.78,121.95,
425,01:26.6,5.26,4.75,120.72,
450,01:32.0,5.36,4.67,119.21,
475,01:37.4,5.39,4.64,117.88,
500,01:43.0,5.62,4.45,114.5,
Av,,5.15,4.89,125.07,
