Race,,Dist,500m,Time,01:46.1
Split,Time,Secs,Vel,SR,
25,6.88,6.88,3.63,127.47,
50,11.6,4.72,5.29,130.75,
75,16.29,4.69,5.33,130.72,
100,21,4.7,5.31,124.03,
125,25.88,4.88,5.12,114.89,
150,30.83,4.95,5.05,119.11,
175,35.87,5.04,4.96,117.65,
200,40.93,5.06,4.94,116.63,
225,46.06,5.13,4.87,116.88,
250,51.2,5.13,4.87,113.68,
275,56.55,5.35,4.67,113.21,
300,01:01.9,5.39,4.63,110.88,
325,01:07.4,5.49,4.56,111.11,
350,01:12.9,5.46,4.58,108.43,
375,01:18.4,5.47,4.57,112.5,
400,01:23.8,5.45,4.59,111.34,
425,01:29.3,5.48,4.56,109.31,
450,01:34.8,5.53,4.52,107.78,
475,01:40.4,5.56,4.5,108,
500,01:46.0,5.66,4.42,106.09,
Av,,5.3,4.75,115.52,
