Race,,Dist,200m,Time,42.37
Split,Time,Secs,Vel,SR,
25,6.67,6.67,3.75,122.64,
50,11.52,4.85,5.16,136.99,
75,16.44,4.92,5.08,138.25,
100,21.48,5.05,4.95,132.45,
125,26.58,5.09,4.91,127.66,
150,31.77,5.19,4.82,125.52,
175,37,5.23,4.78,122.7,
200,42.37,5.37,4.66,119.05,
Av,,5.3,4.76,128.16,
