Race,,Dist,1000,Time,03:29.5
Split,Time,Secs,Vel,SR,
25,6.53,6.53,3.83,115.38,
50,11,4.47,5.6,118.81,
75,15.64,4.64,5.38,116.79,
100,20.33,4.69,5.33,112.15,
125,25.19,4.86,5.14,111.11,
150,30.04,4.84,5.16,108.84,
175,35.05,5.02,4.98,108.35,
200,40.14,5.09,4.91,106.9,
225,45.25,5.11,4.89,107.36,
250,50.41,5.16,4.85,106.67,
275,55.65,5.24,4.77,105.03,
300,01:01.0,5.37,4.66,106.19,
325,01:06.3,5.27,4.74,105.06,
350,01:11.6,5.33,4.69,102.56,
375,01:16.9,5.33,4.69,102.13,
400,01:22.3,5.4,4.63,97,
425,01:27.9,5.51,4.53,97.76,
450,01:33.4,5.48,4.56,99.79,
475,01:38.7,5.37,4.66,96.97,
500,01:44.2,5.5,4.55,98.56,
525,01:49.7,5.46,4.58,97.56,
550,01:55.1,5.48,4.56,97.96,
575,02:00.7,5.57,4.49,96.97,
600,02:06.1,5.41,4.62,98.56,
625,02:11.6,5.43,4.6,98.56,
650,02:17.0,5.49,4.56,99.38,
675,02:22.5,5.46,4.58,98.36,
700,02:28.0,5.45,4.59,99.59,
725,02:33.3,5.38,4.65,100.84,
750,02:38.7,5.4,4.63,100.84,
775,02:44.1,5.35,4.67,101.05,
800,02:49.4,5.35,4.67,103.45,
825,02:54.6,5.13,4.88,100.21,
850,02:59.7,5.13,4.87,103.67,
875,03:04.7,5.02,4.98,108.6,
900,03:09.7,4.97,5.03,110.6,
925,03:14.6,4.93,5.08,114.29,
950,03:19.6,4.97,5.03,116.13,
975,03:24.5,4.92,5.08,118.42,
1000,03:29.5,4.98,5.02,116.79,
Av,,5.24,4.79,105.13,
