Race,,Dist,500m,Time,01:54.5
Split,Time,Secs,Vel,SR,
25,6.87,6.87,3.64,136,
50,11.64,4.77,5.24,144,
75,16.44,4.80,5.21,138,
100,21.50,5.06,4.94,128,
125,26.74,5.24,4.77,121,
150,32.09,5.34,4.68,117,
175,37.65,5.57,4.49,116,
200,43.28,5.63,4.44,114,
225,49.04,5.76,4.34,112,
250,54.77,5.73,4.36,112,
275,01:00.6,5.78,4.33,112,
300,01:06.3,5.73,4.36,112,
325,01:12.1,5.86,4.27,112,
350,01:18.0,5.85,4.27,111,
375,01:23.8,5.85,4.27,112,
400,01:29.8,5.96,4.2,113,
425,01:35.9,6.07,4.12,110,
450,01:42.0,6.10,4.1,109,
475,01:48.1,6.16,4.06,109,
500,01:54.5,6.35,3.94,106,
Av,,5.72,4.4,117,
,,,,,
