Race,,Dist,500m,Time,01:56.1
Split,Time,Secs,Vel,SR,
25,7.18,7.18,3.48,116.59,
50,12.28,5.1,4.9,125.79,
75,17.43,5.14,4.86,124.71,
100,22.67,5.24,4.77,117.88,
125,28.02,5.36,4.67,112.5,
150,33.48,5.46,4.58,110.88,
175,39.05,5.57,4.49,111.73,
200,44.68,5.64,4.44,111.34,
225,50.4,5.72,4.37,110.66,
250,56.22,5.82,4.29,108.7,
275,01:02.0,5.77,4.33,107.78,
300,01:07.8,5.78,4.33,109.29,
325,01:13.5,5.77,4.33,110.91,
350,01:19.4,5.83,4.29,108.43,
375,01:25.2,5.83,4.29,109.49,
400,01:31.1,5.95,4.2,108.7,
425,01:37.3,6.14,4.07,107.91,
450,01:43.6,6.27,3.99,106.95,
475,01:49.8,6.21,4.03,106.57,
500,01:56.1,6.3,3.97,104.9,
Av,,5.8,4.33,111.59,
