Race,,Dist,200m,Time,41.25
Split,Time,Secs,Vel,SR,
25,6.61,6.61,3.78,139.75,
50,11.32,4.71,5.31,155.66,
75,16,4.68,5.34,151.03,
100,20.83,4.83,5.18,147.98,
125,25.74,4.92,5.09,147.98,
150,30.8,5.05,4.95,143.17,
175,35.91,5.11,4.89,140.43,
200,41.25,5.34,4.69,138.36,
Av,,5.16,4.9,145.55,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
