Race,,Dist,500m,Time,01:57.9
Split,Time,Secs,Vel,SR,
25,6.75,6.75,3.7,127,
50,11.78,5.03,4.97,136,
75,16.90,5.12,4.88,132,
100,22.15,5.25,4.76,126,
125,27.58,5.42,4.61,119,
150,33.12,5.54,4.51,115,
175,38.75,5.64,4.43,113,
200,44.53,5.77,4.33,111,
225,50.15,5.63,4.44,112,
250,56.12,5.96,4.19,109,
275,01:01.8,5.66,4.42,112,
300,01:07.5,5.70,4.38,111,
325,01:13.5,6.03,4.15,106,
350,01:19.8,6.24,4.01,102,
375,01:26.0,6.25,4,98,
400,01:32.3,6.25,4,99,
425,01:38.6,6.38,3.92,94,
450,01:45.0,6.32,3.95,93,
475,01:51.3,6.37,3.92,93,
500,01:57.9,6.53,3.83,91,
Av,,5.89,4.27,110,
