Race,,Dist,1000m,Time,03:42.0
Split,Time,Secs,Vel,SR,
25,6.71,6.71,3.73,118,
50,11.22,4.51,5.54,136.02,
75,15.73,4.52,5.53,127.66,
100,20.4,4.67,5.36,121.62,
125,25.14,4.74,5.27,118.23,
150,30.01,4.87,5.14,113.74,
175,35.14,5.13,4.87,110.66,
200,40.31,5.17,4.83,107.87,
225,45.58,5.27,4.75,104.35,
250,50.84,5.26,4.76,103.67,
275,56.13,5.29,4.73,102.66,
300,01:01.6,5.46,4.58,103,
325,01:07.1,5.47,4.57,100.84,
350,01:12.6,5.59,4.47,101.69,
375,01:18.4,5.78,4.33,100.21,
400,01:24.2,5.75,4.35,97.47,
425,01:29.9,5.72,4.37,98.77,
450,01:35.5,5.66,4.42,98.36,
475,01:41.2,5.65,4.43,98.77,
500,01:46.8,5.59,4.47,99.08,
525,01:52.4,5.6,4.47,98.16,
550,01:58.0,5.59,4.47,97.96,
575,02:03.7,5.68,4.4,97.36,
600,02:09.3,5.68,4.4,98.36,
625,02:15.1,5.76,4.34,98.54,
650,02:20.9,5.81,4.3,97.17,
675,02:26.9,6.02,4.15,95.91,
700,02:33.0,6.06,4.12,94.57,
725,02:38.9,5.89,4.25,95.81,
750,02:44.8,5.86,4.26,96.58,
775,02:50.5,5.72,4.37,97.3,
800,02:56.1,5.62,4.45,99.17,
825,03:01.7,5.6,4.47,100.84,
850,03:07.1,5.44,4.6,98.36,
875,03:12.6,5.47,4.57,99.38,
900,03:18.1,5.53,4.52,98.36,
925,03:23.8,5.66,4.42,98.97,
950,03:29.6,5.77,4.33,99.38,
975,03:35.6,6.01,4.16,96.09,
1000,03:42.0,6.39,3.91,92.31,
Av,,5.55,4.54,102.83,
