Race,,Dist,500m,Time,01:50.7
Split,Time,Secs,Vel,SR,
25,7.36,7.36,3.4,114.6,
50,12.33,4.97,5.03,130.75,
75,17.29,4.96,5.05,128.76,
100,22.39,5.1,4.9,125,
125,27.58,5.19,4.81,119.21,
150,32.88,5.3,4.72,115.63,
175,38.11,5.23,4.78,114.89,
200,43.49,5.38,4.65,112.36,
225,48.99,5.51,4.54,112.03,
250,54.6,5.6,4.46,111.34,
275,01:00.2,5.65,4.43,110.09,
300,01:05.8,5.59,4.47,109.76,
325,01:11.4,5.59,4.47,110.2,
350,01:17.1,5.66,4.42,109.69,
375,01:22.7,5.64,4.43,108.22,
400,01:28.4,5.64,4.43,110.43,
425,01:34.0,5.66,4.42,110.2,
450,01:39.6,5.59,4.47,109.29,
475,01:45.2,5.57,4.49,109.76,
500,01:50.7,5.49,4.56,110.88,
Av,,5.53,4.55,114.15,
