Race,,Dist,1000m,Time,03:35.4
Split,Time,Secs,Vel,SR,
25,6.46,6.46,3.87,139.3,
50,10.91,4.45,5.62,144.23,
75,15.33,4.42,5.65,136.36,
100,19.89,4.56,5.49,130.43,
125,24.57,4.68,5.34,125.58,
150,29.37,4.81,5.2,122.45,
175,34.25,4.87,5.13,120.54,
200,39.2,4.96,5.04,119.73,
225,44.26,5.06,4.94,116.13,
250,49.37,5.11,4.9,113.21,
275,54.51,5.14,4.86,112.5,
300,59.72,5.21,4.8,109.98,
325,01:04.9,5.21,4.8,107.87,
350,01:10.2,5.26,4.75,109.09,
375,01:15.5,5.31,4.71,106.9,
400,01:20.8,5.34,4.68,106.93,
425,01:26.2,5.37,4.66,106.9,
450,01:31.6,5.46,4.58,107.14,
475,01:37.1,5.46,4.58,104.35,
500,01:42.6,5.51,4.53,103.85,
525,01:48.1,5.49,4.55,104.8,
550,01:53.7,5.54,4.51,102.27,
575,01:59.2,5.53,4.52,101.91,
600,02:04.7,5.51,4.53,102.08,
625,02:10.2,5.52,4.53,101.91,
650,02:15.8,5.53,4.52,102.66,
675,02:21.2,5.49,4.55,101.27,
700,02:26.8,5.56,4.49,100.84,
725,02:32.4,5.56,4.49,99.79,
750,02:38.0,5.68,4.4,98,
775,02:43.8,5.72,4.37,97.17,
800,02:49.4,5.65,4.42,97.56,
825,02:55.1,5.7,4.39,97.36,
850,03:00.8,5.68,4.4,96.77,
875,03:06.4,5.64,4.43,96.39,
900,03:12.1,5.61,4.46,98.16,
925,03:17.7,5.67,4.41,96.39,
950,03:23.4,5.66,4.42,95.43,
975,03:29.2,5.76,4.34,92.66,
1000,03:35.4,6.22,4.02,85.11,
Av,,5.38,4.67,107.8,
