Race,,Dist,500,Time,01:31.4
Split,Time,Secs,Vel,SR,
25,6.46,6.46,3.87,123.61,
50,10.59,4.13,6.05,146.34,
75,14.6,4.01,6.23,143.71,
100,18.66,4.06,6.16,140.99,
125,22.83,4.17,5.99,134.08,
150,27.09,4.25,5.88,133.66,
175,31.42,4.33,5.78,132.6,
200,35.78,4.37,5.72,130.12,
225,40.2,4.42,5.65,130.08,
250,44.68,4.48,5.58,128.27,
275,49.22,4.54,5.51,128.57,
300,53.8,4.58,5.46,125.98,
325,58.4,4.6,5.43,125.29,
350,01:03.0,4.64,5.39,125,
375,01:07.7,4.65,5.38,125,
400,01:12.4,4.7,5.32,125.58,
425,01:17.1,4.72,5.3,124.71,
450,01:21.8,4.73,5.29,124.42,
475,01:26.5,4.71,5.31,123.08,
500,01:31.4,4.82,5.2,120.54,
Av,,4.57,5.53,129.58,
