Race,,Dist,200m,Time,37.97
Split,Time,Secs,Vel,SR,
25,6.16,6.16,4.06,147.63,
50,10.42,4.26,5.87,167.09,
75,14.7,4.28,5.84,158.31,
100,19.08,4.38,5.7,153.06,
125,23.58,4.5,5.56,148.88,
150,28.16,4.58,5.46,144.58,
175,32.94,4.78,5.23,136.36,
200,37.96,5.02,4.98,127.06,
Av,,4.75,5.34,147.87,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
