Race,,Dist,200m,Time,36.87
Split,Time,Secs,Vel,SR,
25,6.53,6.53,3.83,131.66,
50,10.72,4.19,5.97,147.95,
75,14.86,4.14,6.03,141.73,
100,19.12,4.25,5.88,138.11,
125,23.35,4.24,5.9,135.59,
150,27.73,4.38,5.71,134.33,
175,32.23,4.5,5.56,129.81,
200,36.87,4.64,5.4,128,
Av,,4.61,5.53,135.9,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
