Race,,Dist,1000,Time,273.8
Split,Time,Secs,Vel,SR,
25,7.74,7.74,3.23,122.12,
50,13.53,5.79,4.31,125.24,
75,19.25,5.71,4.37,119.52,
100,24.93,5.68,4.4,113.42,
125,30.74,5.81,4.3,108.22,
150,37.01,6.26,3.99,105.26,
175,43.32,6.32,3.96,102.39,
200,49.9,6.58,3.8,98.36,
225,56.71,6.81,3.67,96.31,
250,63.39,6.67,3.75,93.59,
275,70.69,7.3,3.42,90.09,
300,77.51,6.83,3.66,89.11,
325,84.51,7,3.57,89.15,
350,91.7,7.18,3.48,87.8,
375,98.78,7.08,3.53,87.66,
400,105.83,7.05,3.54,87.98,
425,112.74,6.9,3.62,86.26,
450,119.73,6.99,3.57,88.82,
475,126.92,7.19,3.48,88.89,
500,133.75,6.84,3.66,89.26,
525,140.43,6.68,3.75,89.85,
550,147.29,6.86,3.64,88.38,
575,154.7,7.41,3.37,87.21,
600,161.7,7,3.57,85.99,
625,168.68,6.98,3.58,86.68,
650,175.76,7.08,3.53,84.77,
675,183.16,7.4,3.38,86.71,
700,190.21,7.05,3.54,84.91,
725,197.22,7.01,3.57,85.85,
750,204.35,7.14,3.5,85.99,
775,211.53,7.18,3.48,85.85,
800,218.49,6.96,3.59,87.1,
825,225.53,7.03,3.55,88.09,
850,232.28,6.76,3.7,85.44,
875,239.01,6.72,3.72,85.99,
900,245.99,6.99,3.58,86.68,
925,252.93,6.93,3.61,87.38,
950,259.89,6.96,3.59,86.4,
975,266.8,6.91,3.62,85.99,
1000,273.8,7,3.57,86.12,
Av,,6.85,3.67,92.52,
