Race,,Dist,200m,Time,46.45
Split,Time,Secs,Vel,SR,
25,7.45,7.45,3.36,119.32,
50,12.9,5.45,4.58,126.85,
75,18.3,5.4,4.63,123.97,
100,23.84,5.54,4.51,120,
125,29.21,5.37,4.66,121.46,
150,34.88,5.67,4.41,120,
175,40.71,5.83,4.29,116.73,
200,46.46,5.75,4.35,114.94,
Av,,5.81,4.35,120.41,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
