Race,,Dist,500m,Time,01:33.9
Split,Time,Secs,Vel,SR,
25,5.4,5.4,4.63,142.57,
50,9.44,4.04,6.19,155.04,
75,13.44,4,6.24,150,
100,17.47,4.03,6.21,143.28,
125,21.6,4.13,6.05,140.99,
150,25.86,4.26,5.87,137.76,
175,30.25,4.39,5.69,134.66,
200,34.77,4.51,5.54,131.07,
225,39.3,4.53,5.52,129.73,
250,43.94,4.65,5.38,127.66,
275,48.69,4.74,5.27,127.36,
300,53.51,4.82,5.19,127.93,
325,58.35,4.85,5.16,126.46,
350,01:03.2,4.83,5.18,127.06,
375,01:08.1,4.92,5.08,124.14,
400,01:13.1,5.01,4.99,124.74,
425,01:18.2,5.07,4.93,122.73,
450,01:23.3,5.08,4.93,120.97,
475,01:28.5,5.25,4.76,120.27,
500,01:33.9,5.41,4.62,112.97,
Av,,4.7,5.37,131.37,
