Race,,Dist,500m,Time,01:56.8
Split,Time,Secs,Vel,SR,
25,7.11,7.11,3.52,137,
50,12.01,4.90,5.1,148,
75,16.93,4.92,5.08,137,
100,22.12,5.19,4.82,127,
125,27.52,5.40,4.63,118,
150,32.99,5.47,4.57,115,
175,38.65,5.66,4.42,112,
200,44.36,5.71,4.38,109,
225,50.16,5.80,4.31,109,
250,56.04,5.88,4.25,108,
275,01:02.1,6.02,4.15,107,
300,01:08.2,6.14,4.07,106,
325,01:14.3,6.08,4.11,107,
350,01:20.3,6.02,4.15,106,
375,01:26.3,6.01,4.16,107,
400,01:32.5,6.17,4.05,104,
425,01:38.7,6.18,4.04,105,
450,01:44.7,6.08,4.11,108,
475,01:50.8,6.04,4.14,115,
500,01:56.8,6.06,4.13,108,
Av,,5.84,4.31,115,
,,,,,
