Race,,Dist,500,Time,01:43.6
Split,Time,Secs,Vel,SR,
25,6.71,6.71,3.73,124.14,
50,11.26,4.55,5.49,141.73,
75,15.79,4.52,5.53,138.57,
100,20.4,4.61,5.42,129.81,
125,25.22,4.82,5.18,119.7,
150,30.13,4.91,5.09,117.14,
175,35.16,5.03,4.97,112.94,
200,40.27,5.11,4.9,113.45,
225,45.44,5.17,4.83,111.34,
250,50.75,5.3,4.71,110.88,
275,56.03,5.28,4.73,112.15,
300,01:01.3,5.28,4.73,111.8,
325,01:06.6,5.28,4.73,112.73,
350,01:11.8,5.22,4.79,114.89,
375,01:17.1,5.23,4.78,115.38,
400,01:22.3,5.22,4.79,117.65,
425,01:27.5,5.27,4.75,117.65,
450,01:32.8,5.29,4.73,120,
475,01:38.2,5.37,4.65,118.34,
500,01:43.6,5.42,4.62,118.34,
Av,,5.18,4.86,118.93,
