Race,,Dist,1000,Time,03:11.8
Split,Time,Secs,Vel,SR,
25,6.2,6.2,4.03,130,
50,10.28,4.08,6.13,150,
75,14.22,3.94,6.35,149.58,
100,18.24,4.01,6.23,142.01,
125,22.32,4.09,6.12,139.53,
150,26.5,4.17,5.99,135.59,
175,30.77,4.27,5.85,131.51,
200,35.11,4.34,5.76,127.96,
225,39.53,4.42,5.66,126.65,
250,44.02,4.5,5.56,124.35,
275,48.55,4.53,5.52,124.42,
300,53.15,4.6,5.43,121.21,
325,57.81,4.66,5.37,120,
350,01:02.5,4.73,5.28,118.94,
375,01:07.3,4.78,5.23,117.36,
400,01:12.1,4.8,5.21,117.07,
425,01:17.0,4.85,5.16,117.39,
450,01:21.8,4.87,5.14,115.94,
475,01:26.8,4.93,5.07,114.65,
500,01:31.7,4.9,5.1,116.22,
525,01:36.5,4.78,5.23,119.73,
550,01:41.2,4.78,5.23,117.65,
575,01:46.1,4.84,5.17,117.14,
600,01:50.9,4.87,5.14,116.5,
625,01:55.9,4.93,5.07,116.13,
650,02:00.9,5,5,115.38,
675,02:05.9,5.02,4.98,114.65,
700,02:11.0,5.07,4.93,113.92,
725,02:16.0,5.03,4.97,114.56,
750,02:21.0,5.05,4.95,114.65,
775,02:26.1,5.07,4.93,115.63,
800,02:31.2,5.05,4.95,116.5,
825,02:36.1,4.97,5.03,117.65,
850,02:41.1,4.98,5.02,118.94,
875,02:46.1,5,5,117.9,
900,02:51.1,5,5,117.65,
925,02:56.1,5.01,4.99,116.88,
950,03:01.2,5.06,4.94,115.66,
975,03:06.4,5.18,4.82,113.45,
1000,03:11.8,5.39,4.64,106.3,
Av,,4.79,5.25,121.43,
