Race,,Dist,500,Time,02:10.3
Split,Time,Secs,Vel,SR,
25,7.5,7.5,3.33,113.82,
50,13.05,5.56,4.5,120.72,
75,18.91,5.86,4.27,114.29,
100,24.91,6,4.17,108.89,
125,31.03,6.12,4.08,106.01,
150,37.14,6.11,4.09,100.93,
175,43.48,6.34,3.94,100.67,
200,49.87,6.39,3.91,100.56,
225,56.35,6.49,3.85,100.5,
250,01:03.0,6.64,3.76,100.84,
275,01:09.6,6.63,3.77,99.34,
300,01:16.2,6.56,3.81,99.5,
325,01:22.9,6.67,3.75,98.68,
350,01:29.6,6.71,3.72,97.72,
375,01:36.3,6.75,3.7,98.68,
400,01:43.1,6.81,3.67,99.01,
425,01:49.9,6.81,3.67,99.55,
450,01:56.7,6.8,3.68,97.88,
475,02:03.5,6.78,3.69,97.88,
500,02:10.3,6.81,3.67,98.52,
Av,,6.52,3.85,102.7,
