Race,,Dist,1000m,Time,03:27.3
Split,Time,Secs,Vel,SR,
25,6.66,6.66,3.75,130.23,
50,10.99,4.34,5.77,142.48,
75,15.25,4.26,5.87,137.4,
100,19.61,4.35,5.74,134.33,
125,24,4.39,5.7,130.43,
150,28.52,4.52,5.53,128.27,
175,33.13,4.61,5.42,126.32,
200,37.79,4.67,5.35,124.42,
225,42.58,4.78,5.23,122.17,
250,47.42,4.85,5.16,120.54,
275,52.29,4.86,5.14,117.07,
300,57.27,4.98,5.02,116.38,
325,01:02.3,5.02,4.98,115.11,
350,01:07.4,5.1,4.91,114.16,
375,01:12.5,5.15,4.85,114.65,
400,01:17.6,5.09,4.91,111.11,
425,01:22.8,5.15,4.85,110.43,
450,01:28.0,5.25,4.76,110.6,
475,01:33.3,5.3,4.72,110.2,
500,01:38.6,5.3,4.72,108.22,
525,01:44.0,5.36,4.67,108.6,
550,01:49.4,5.38,4.65,107.78,
575,01:54.7,5.36,4.66,106.93,
600,02:00.1,5.39,4.64,106.43,
625,02:05.5,5.43,4.6,106.93,
650,02:11.0,5.43,4.6,105.88,
675,02:16.4,5.41,4.62,104.58,
700,02:21.9,5.45,4.59,107.36,
725,02:27.3,5.5,4.55,106.72,
750,02:32.9,5.53,4.52,107.14,
775,02:38.3,5.45,4.59,108.87,
800,02:43.7,5.4,4.63,108.43,
825,02:49.2,5.44,4.6,108.22,
850,02:54.6,5.5,4.55,108.65,
875,03:00.0,5.38,4.65,108.6,
900,03:05.4,5.42,4.61,109.31,
925,03:10.9,5.42,4.61,110.43,
950,03:16.3,5.4,4.63,109.31,
975,03:21.7,5.46,4.58,107.78,
1000,03:27.3,5.62,4.45,105.88,
Av,,5.18,4.86,114.46,
