Race,,Dist,500m,Time,01:35.3
Split,Time,Secs,Vel,SR,
25,6.45,6.45,3.87,129,
50,10.71,4.26,5.87,145,
75,14.87,4.16,6.01,137,
100,19.14,4.27,5.86,131,
125,23.50,4.36,5.73,123,
150,27.93,4.43,5.64,124,
175,32.43,4.50,5.56,122,
200,36.95,4.52,5.53,120,
225,41.54,4.59,5.45,120,
250,46.13,4.59,5.44,119,
275,50.88,4.74,5.27,118,
300,55.67,4.80,5.21,118,
325,01:00.5,4.82,5.19,118,
350,01:05.2,4.74,5.27,116,
375,01:10.1,4.91,5.1,117,
400,01:15.1,4.94,5.06,116,
425,01:20.0,4.92,5.08,112,
450,01:25.0,5.00,5,113,
475,01:30.1,5.07,4.94,112,
500,01:35.3,5.23,4.78,114,
Av,,4.76,5.29,121,
