Race,,Dist,500,Time,109.74
Split,Time,Secs,Vel,SR,
25,7.07,7.07,3.53,123.35,
50,11.85,4.78,5.23,133.33,
75,16.63,4.78,5.23,122.45,
100,21.49,4.85,5.15,128.57,
125,26.48,4.99,5.01,123.71,
150,31.55,5.07,4.93,121.08,
175,36.67,5.11,4.89,118.68,
200,41.85,5.18,4.83,119.47,
225,47.15,5.3,4.71,117.9,
250,52.55,5.4,4.63,118.58,
275,57.99,5.44,4.6,118.11,
300,63.58,5.59,4.47,114.16,
325,69.13,5.56,4.5,114.72,
350,74.73,5.59,4.47,114.72,
375,80.43,5.7,4.38,113.21,
400,86.2,5.77,4.33,112.73,
425,92.01,5.81,4.3,113.21,
450,97.94,5.93,4.22,111.94,
475,103.82,5.88,4.25,119.13,
500,109.74,5.92,4.23,110.09,
Av,,5.49,4.59,118.46,
