Race,,Dist,200m,Time,42.48
Split,Time,Secs,Vel,SR,
25,7.07,7.07,3.54,134.53,
50,11.89,4.83,5.18,148.98,
75,16.68,4.79,5.22,145.05,
100,21.58,4.9,5.1,141.84,
125,26.58,5,5,138.66,
150,31.73,5.15,4.86,134.83,
175,37.01,5.28,4.74,133.06,
200,42.48,5.47,4.57,126.85,
Av,,5.31,4.78,137.98,
