Race,,Dist,500m,Time,01:48.3
Split,Time,Secs,Vel,SR,
25,6.71,6.71,3.73,133,
50,11.32,4.61,5.42,138,
75,16.05,4.73,5.29,128,
100,21.08,5.03,4.97,117,
125,26.21,5.13,4.87,113,
150,31.39,5.17,4.83,112,
175,36.63,5.25,4.76,112,
200,42.01,5.38,4.65,110,
225,47.36,5.35,4.67,111,
250,52.80,5.44,4.6,110,
275,58.23,5.43,4.6,109,
300,01:03.6,5.38,4.65,111,
325,01:09.1,5.46,4.58,110,
350,01:14.6,5.48,4.56,109,
375,01:20.2,5.60,4.46,111,
400,01:25.8,5.61,4.45,110,
425,01:31.3,5.56,4.49,116,
450,01:37.0,5.61,4.45,112,
475,01:42.6,5.66,4.42,112,
500,01:48.3,5.70,4.39,110,
Av,,5.42,4.64,115,
,,,,,
