Race,,Dist,500m,Time,02:01.6
Split,Time,Secs,Vel,SR,
25,6.80,6.80,3.68,126,
50,11.39,4.59,5.45,143,
75,15.99,4.61,5.43,135,
100,20.94,4.95,5.05,121,
125,26.44,5.50,4.54,105,
150,32.13,5.69,4.4,95,
175,38.29,6.16,4.06,89,
200,44.69,6.40,3.9,87,
225,51.30,6.61,3.78,86,
250,57.94,6.64,3.77,83,
275,01:04.6,6.61,3.78,85,
300,01:11.5,6.92,3.61,89,
325,01:18.1,6.60,3.79,89,
350,01:24.6,6.54,3.82,89,
375,01:31.2,6.60,3.79,89,
400,01:37.3,6.06,4.12,95,
425,01:43.2,5.87,4.26,97,
450,01:49.0,5.86,4.26,95,
475,01:55.2,6.16,4.06,94,
500,02:01.6,6.42,3.9,91,
Av,,6.08,4.17,99,
