Race,,Dist,500,Time,01:42.2
Split,Time,Secs,Vel,SR,
25,6.74,6.74,3.71,125.19,
50,11.29,4.55,5.5,144.39,
75,15.86,4.57,5.47,142.86,
100,20.49,4.63,5.39,140.52,
125,25.49,4.99,5.01,135.68,
150,30.05,4.56,5.48,133.33,
175,34.95,4.91,5.09,131.87,
200,39.84,4.89,5.11,129.81,
225,44.83,4.99,5.01,127.39,
250,49.92,5.08,4.92,126.17,
275,02:24.0,5.04,4.96,127.39,
300,16:48.0,5.01,4.99,126.58,
325,01:05.2,5.26,4.75,126.05,
350,01:10.4,5.19,4.81,125.26,
375,01:15.7,5.26,4.75,125.26,
400,01:20.9,5.24,4.77,125,
425,01:26.1,5.14,4.86,124.35,
450,01:31.3,5.27,4.74,122.95,
475,01:36.7,5.37,4.66,124.42,
500,01:42.2,5.46,4.59,122.7,
Av,,5.11,4.93,129.36,
