Race,,Dist,500m,Time,01:39.9
Split,Time,Secs,Vel,SR,
25,6.81,6.81,3.67,128.44,
50,11.37,4.56,5.49,137.06,
75,15.84,4.47,5.59,134.33,
100,20.37,4.53,5.52,133.66,
125,24.95,4.58,5.46,130.43,
150,29.71,4.77,5.24,126.76,
175,34.58,4.87,5.14,123.01,
200,39.41,4.83,5.17,125,
225,44.24,4.83,5.18,125.26,
250,49.15,4.9,5.1,122.17,
275,54.07,4.92,5.08,122.17,
300,59.07,5.01,4.99,121.62,
325,01:04.2,5.12,4.88,120.81,
350,01:09.3,5.09,4.91,120.54,
375,01:14.3,5,5,125.58,
400,01:19.3,5.04,4.96,121.7,
425,01:24.4,5.11,4.89,119.73,
450,01:29.5,5.11,4.89,120.54,
475,01:34.7,5.2,4.81,119.05,
500,01:39.9,5.19,4.82,117.39,
Av,,5,5.04,124.76,
