Race,,Dist,200m,Time,42.86
Split,Time,Secs,Vel,SR,
25,7.77,7.77,3.22,137.47,
50,12.52,4.75,5.26,159.04,
75,17.29,4.77,5.24,157.89,
100,22.08,4.8,5.21,152.07,
125,27.1,5.01,4.99,146.67,
150,32.32,5.22,4.79,143.17,
175,37.52,5.2,4.8,139,
200,42.85,5.33,4.7,136.08,
Av,,5.36,4.78,146.42,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
