Race,,Dist,500,Time,01:51.3
Split,Time,Secs,Vel,SR,
25,6.88,6.88,3.63,127.45,
50,11.71,4.83,5.18,137.76,
75,16.64,4.93,5.07,133.93,
100,21.66,5.02,4.98,130.15,
125,26.76,5.11,4.9,126.85,
150,32.01,5.25,4.77,123.71,
175,37.37,5.35,4.67,122.2,
200,42.84,5.48,4.56,118.58,
225,48.4,5.56,4.5,117.42,
250,53.93,5.53,4.52,115.88,
275,59.49,5.56,4.5,117.42,
300,01:05.2,5.69,4.39,115.38,
325,01:10.8,5.67,4.41,116.05,
350,01:16.6,5.72,4.37,114.29,
375,01:22.3,5.7,4.39,113.85,
400,01:28.0,5.7,4.39,114.07,
425,01:33.7,5.72,4.37,112.5,
450,01:39.5,5.82,4.3,110.7,
475,01:45.3,5.82,4.3,109.09,
500,01:51.3,5.93,4.22,109.89,
Av,,5.56,4.52,119.36,
