Race,,Dist,200,Time,40.72
Split,Time,Secs,Vel,SR,
25,6.56,6.56,3.81,146.82,
50,11.15,4.6,5.44,154.57,
75,15.75,4.59,5.44,146.34,
100,20.46,4.72,5.3,142.52,
125,25.23,4.77,5.24,139.86,
150,30.2,4.97,5.03,133.93,
175,35.3,5.1,4.9,130.72,
200,40.71,5.41,4.62,125,
Av,,5.09,4.97,139.97,
