Race,,Dist,500m,Time,01:52.7
Split,Time,Secs,Vel,SR,
25,6.80,6.80,3.67,134,
50,11.66,4.86,5.14,142,
75,16.65,4.98,5.02,135,
100,21.84,5.19,4.82,125,
125,27.18,5.34,4.68,121,
150,32.56,5.38,4.65,118,
175,38.04,5.48,4.56,117,
200,43.58,5.53,4.52,115,
225,49.16,5.58,4.48,114,
250,54.82,5.67,4.41,116,
275,01:00.5,5.64,4.43,114,
300,01:06.2,5.69,4.39,113,
325,01:11.9,5.74,4.35,114,
350,01:17.7,5.76,4.34,117,
375,01:23.3,5.68,4.4,117,
400,01:29.0,5.66,4.42,117,
425,01:34.8,5.76,4.34,115,
450,01:40.6,5.85,4.28,113,
475,01:46.6,5.94,4.21,112,
500,01:52.7,6.15,4.07,108,
Av,,5.63,4.46,119,
