Race,,Dist,200m,Time,49.03
Split,Time,Secs,Vel,SR,
25,7.83,7.83,3.19,116.18,
50,13.39,5.56,4.5,125.24,
75,18.98,5.59,4.47,123.83,
100,24.61,5.63,4.44,119.05,
125,30.45,5.84,4.28,116.28,
150,36.53,6.08,4.11,115.99,
175,42.67,6.14,4.07,111.94,
200,49.03,6.36,3.93,107.84,
Av,,6.13,4.13,117.04,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
