Race,,Dist,200,Time,43.56
Split,Time,Secs,Vel,SR,
25,6.95,6.95,3.6,124.81,
50,11.84,4.9,5.11,141.94,
75,16.71,4.86,5.14,140.85,
100,21.69,4.98,5.02,139.21,
125,26.78,5.09,4.91,133.87,
150,32.13,5.34,4.68,129.87,
175,37.7,5.58,4.48,126.68,
200,43.56,5.85,4.28,119.57,
Av,,5.44,4.65,132.1,
