Race,,Dist,500,Time,125.79
Split,Time,Secs,Vel,SR,
25,7.78,7.78,3.21,119.05,
50,13.39,5.61,4.46,121.7,
75,19.05,5.65,4.42,118.58,
100,25.1,6.06,4.13,111.49,
125,30.9,5.8,4.31,108.65,
150,36.98,6.07,4.12,104.9,
175,43.25,6.27,3.98,101.5,
200,49.49,6.24,4.01,102.56,
225,55.56,6.07,4.12,103.45,
250,61.96,6.4,3.9,101.69,
275,68.34,6.38,3.92,102.21,
300,74.64,6.3,3.97,102.21,
325,81.05,6.41,3.9,103.09,
350,87.25,6.2,4.03,102.56,
375,93.63,6.38,3.92,100.56,
400,100.08,6.45,3.87,106.62,
425,106.39,6.31,3.96,107.14,
450,112.97,6.58,3.8,109.09,
475,119.18,6.2,4.03,110.09,
500,125.79,6.61,3.78,110.77,
Av,,6.29,3.99,107.4,
