Race,,Dist,500,Time,120.43
Split,Time,Secs,Vel,SR,
25,7.19,7.19,3.48,117.32,
50,12.23,5.04,4.96,130.75,
75,17.28,5.05,4.95,132,
100,22.46,5.18,4.83,130.15,
125,27.8,5.34,4.68,125.52,
150,33.32,5.52,4.53,123.2,
175,38.94,5.62,4.45,121.32,
200,44.75,5.81,4.3,117.19,
225,50.75,6,4.16,117.23,
250,56.78,6.03,4.14,112.99,
275,62.94,6.15,4.06,111.11,
300,69.17,6.23,4.01,111.3,
325,75.48,6.31,3.96,110.92,
350,81.83,6.35,3.94,110.29,
375,88.2,6.37,3.92,109.45,
400,94.62,6.42,3.9,108.02,
425,101.03,6.41,3.9,107.53,
450,107.41,6.38,3.92,109.45,
475,113.96,6.55,3.82,108.91,
500,120.43,6.48,3.87,108.7,
Av,,6.02,4.19,116.17,
