Race,,Dist,500m,Time,01:58.1
Split,Time,Secs,Vel,SR,
25,7.48,7.48,3.34,117.48,
50,12.56,5.09,4.91,129.31,
75,17.76,5.19,4.82,123.71,
100,23.05,5.29,4.72,121.9,
125,28.53,5.48,4.56,117.19,
150,34.14,5.61,4.46,113.42,
175,39.77,5.63,4.44,115.14,
200,45.45,5.69,4.4,112.78,
225,51.18,5.73,4.36,112.57,
250,56.93,5.75,4.35,113.21,
275,01:02.8,5.82,4.29,111.52,
300,01:08.7,5.91,4.23,110.09,
325,01:14.7,6.03,4.14,109.09,
350,01:20.7,6.03,4.15,109.49,
375,01:26.8,6.03,4.15,108.5,
400,01:32.9,6.12,4.09,107.14,
425,01:39.0,6.1,4.1,107.14,
450,01:45.3,6.29,3.98,106.97,
475,01:51.6,6.32,3.96,104.35,
500,01:58.1,6.51,3.84,101.87,
Av,,5.9,4.26,112.64,
