Race,,Dist,500m,Time,01:59.5
Split,Time,Secs,Vel,SR,
25,7.25,7.25,3.45,118,
50,12.35,5.09,4.91,141,
75,17.54,5.20,4.81,132,
100,22.85,5.31,4.71,128,
125,28.28,5.43,4.61,123,
150,33.86,5.59,4.47,121,
175,39.46,5.60,4.46,119,
200,45.20,5.74,4.36,117,
225,51.05,5.84,4.28,116,
250,56.99,5.94,4.21,115,
275,01:03.1,6.07,4.12,111,
300,01:09.1,6.08,4.11,108,
325,01:15.3,6.16,4.06,107,
350,01:21.6,6.25,4,106,
375,01:27.7,6.19,4.04,107,
400,01:34.1,6.30,3.97,107,
425,01:40.3,6.26,3.99,106,
450,01:46.6,6.25,4,105,
475,01:52.9,6.37,3.93,103,
500,01:59.5,6.59,3.79,98,
Av,,5.98,4.21,115,
