Race,,Dist,500,Time,116.3
Split,Time,Secs,Vel,SR,
25,6.73,6.73,3.72,129.23,
50,11.51,4.78,5.23,137.93,
75,16.4,4.9,5.11,128.27,
100,21.58,5.17,4.83,119.47,
125,26.87,5.3,4.72,113.45,
150,32.28,5.41,4.62,110.66,
175,37.8,5.52,4.53,107.78,
200,43.46,5.66,4.42,100.37,
225,49.24,5.78,4.33,97.96,
250,55.12,5.88,4.25,97.3,
275,60.97,5.85,4.28,97.17,
300,66.89,5.93,4.22,98,
325,72.87,5.97,4.19,94.3,
350,78.96,6.1,4.1,91.84,
375,85.09,6.13,4.08,92.13,
400,91.19,6.1,4.1,92.49,
425,97.35,6.16,4.06,89.26,
450,103.59,6.24,4.01,90.06,
475,109.9,6.31,3.96,89.39,
500,116.29,6.39,3.92,88.38,
Av,,5.81,4.33,103.27,
