Race,,Dist,200m,Time,41.43
Split,Time,Secs,Vel,SR,
25,7.28,7.28,3.44,139.33,
50,11.94,4.67,5.36,158.27,
75,16.58,4.64,5.39,157.89,
100,21.3,4.72,5.3,152.78,
125,26.1,4.81,5.2,146.67,
150,31.05,4.95,5.05,142.55,
175,36.17,5.12,4.88,139.53,
200,41.42,5.25,4.76,134.23,
Av,,5.18,4.92,146.41,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
