Race,,Dist,500,Time,01:43.0
Split,Time,Secs,Vel,SR,
25,6.73,6.73,3.71,129.43,
50,11.29,4.56,5.48,150.75,
75,15.75,4.46,5.61,146.7,
100,20.24,4.49,5.56,140.19,
125,24.9,4.66,5.37,136.02,
150,29.63,4.73,5.29,131.87,
175,34.44,4.81,5.2,130.12,
200,39.38,4.94,5.06,127.93,
225,44.33,4.95,5.05,126.17,
250,49.37,5.04,4.96,126.05,
275,54.48,5.11,4.89,124.71,
300,59.7,5.22,4.79,123.46,
325,01:05.0,5.32,4.7,122.95,
350,01:10.4,5.39,4.63,121.95,
375,01:15.8,5.41,4.62,121.46,
400,01:21.2,5.41,4.62,120.72,
425,01:26.6,5.34,4.68,120.48,
450,01:32.0,5.37,4.65,120,
475,01:37.4,5.48,4.57,119.05,
500,01:43.0,5.56,4.5,116.96,
Av,,5.15,4.9,127.85,
