Race,,Dist,500,Time,128.07
Split,Time,Secs,Vel,SR,
25,8.15,8.15,3.07,122.95,
50,13.86,5.72,4.37,122.22,
75,19.71,5.85,4.27,117.86,
100,25.63,5.92,4.23,114.29,
125,31.68,6.05,4.13,108.11,
150,37.82,6.13,4.08,107.91,
175,44.14,6.32,3.96,105.45,
200,50.54,6.41,3.9,103.63,
225,56.84,6.3,3.97,104.71,
250,63.42,6.58,3.8,102.74,
275,69.65,6.23,4.01,102.04,
300,76.22,6.57,3.81,102.21,
325,82.77,6.55,3.81,102.74,
350,89.1,6.32,3.95,104.17,
375,95.44,6.34,3.94,106.57,
400,101.99,6.55,3.82,106.62,
425,108.45,6.47,3.87,106.01,
450,114.8,6.35,3.94,105.43,
475,121.46,6.66,3.75,104.9,
500,128.08,6.62,3.77,103.77,
Av,,6.4,3.92,107.72,
