Race,,Dist,500m,Time,01:46.7
Split,Time,Secs,Vel,SR,
25,6.87,6.87,3.64,131,
50,11.36,4.49,5.57,147,
75,15.86,4.50,5.56,141,
100,20.48,4.62,5.41,135,
125,25.23,4.75,5.26,130,
150,30.08,4.84,5.16,128,
175,35.04,4.96,5.04,126,
200,40.16,5.12,4.89,124,
225,45.42,5.26,4.75,120,
250,50.73,5.32,4.7,119,
275,56.14,5.41,4.63,119,
300,01:01.5,5.38,4.65,119,
325,01:06.9,5.40,4.63,120,
350,01:12.4,5.49,4.55,120,
375,01:18.0,5.56,4.5,117,
400,01:23.5,5.57,4.49,117,
425,01:29.3,5.73,4.36,116,
450,01:35.0,5.73,4.36,115,
475,01:40.8,5.80,4.31,115,
500,01:46.7,5.88,4.25,111,
Av,,5.33,4.73,124,
,,,,,
