Race,,Dist,500,Time,01:38.5
Split,Time,Secs,Vel,SR,
25,6.38,6.38,3.92,134.02,
50,10.58,4.2,5.95,150.84,
75,14.76,4.18,5.98,144.58,
100,19.04,4.27,5.85,137.14,
125,23.42,4.39,5.7,131.07,
150,27.96,4.54,5.51,123.71,
175,32.62,4.66,5.36,118.81,
200,37.38,4.75,5.26,116.63,
225,42.2,4.82,5.19,116.22,
250,47.16,4.97,5.03,117.39,
275,52.22,5.05,4.95,115.94,
300,57.34,5.12,4.88,113.68,
325,01:02.3,4.98,5.02,118.16,
350,01:07.3,4.97,5.03,117.9,
375,01:12.4,5.08,4.92,117.14,
400,01:17.5,5.12,4.88,118.94,
425,01:22.6,5.11,4.89,118.94,
450,01:27.8,5.21,4.8,117.39,
475,01:33.0,5.22,4.79,115.38,
500,01:38.5,5.45,4.6,109.76,
Av,,4.92,5.12,122.68,
