Race,,Dist,500,Time,118.27
Split,Time,Secs,Vel,SR,
25,7.19,7.19,3.48,116.42,
50,12.17,4.97,5.03,133.04,
75,17.21,5.04,4.96,129.03,
100,22.41,5.2,4.81,126.58,
125,27.77,5.36,4.66,123.2,
150,33.29,5.52,4.53,119.76,
175,38.95,5.65,4.42,118.34,
200,44.62,5.67,4.41,115.83,
225,50.41,5.79,4.32,115.16,
250,56.44,6.04,4.14,112.82,
275,62.5,6.06,4.13,110.91,
300,68.61,6.11,4.09,110.09,
325,74.73,6.12,4.09,110.55,
350,80.84,6.11,4.09,109.49,
375,87,6.16,4.06,108.11,
400,93.17,6.17,4.05,108.7,
425,99.29,6.12,4.08,108.5,
450,105.53,6.23,4.01,107.33,
475,111.87,6.34,3.94,106.38,
500,118.26,6.39,3.92,104.53,
Av,,5.91,4.26,114.74,
