Race,,Dist,500,Time,120.79
Split,Time,Secs,Vel,SR,
25,7.39,7.39,3.38,131.66,
50,12.79,5.4,4.63,140.9,
75,18.23,5.44,4.6,133.87,
100,23.84,5.61,4.46,128.16,
125,29.55,5.71,4.38,121.95,
150,35.33,5.78,4.33,118.49,
175,41.19,5.86,4.26,117.88,
200,47.09,5.9,4.24,116.61,
225,53.02,5.94,4.21,113.85,
250,59.08,6.05,4.13,112.57,
275,65.17,6.09,4.11,110.18,
300,71.23,6.06,4.12,109.49,
325,77.36,6.14,4.07,109.29,
350,83.45,6.08,4.11,107.53,
375,89.62,6.17,4.05,106.38,
400,95.84,6.22,4.02,105.68,
425,102.07,6.23,4.01,104.35,
450,108.32,6.25,4,105.08,
475,114.52,6.2,4.03,106.01,
500,120.8,6.28,3.99,108.3,
Av,,6.04,4.16,115.41,
