Race,,Dist,200m,Time,43.82
Split,Time,Secs,Vel,SR,
25,7.3,7.3,3.42,110.95,
50,12.4,5.1,4.9,127.39,
75,17.47,5.07,4.93,128.76,
100,22.6,5.13,4.87,123.29,
125,27.75,5.15,4.85,124.48,
150,32.97,5.22,4.79,123.71,
175,38.35,5.38,4.65,118.16,
200,43.81,5.46,4.59,113.85,
Av,,5.48,4.63,121.32,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
