Race,,Dist,1000m,Time,03:35.1
Split,Time,Secs,Vel,SR,
25,6.41,6.41,3.9,142.41,
50,10.76,4.35,5.75,152.67,
75,15.15,4.39,5.69,145.95,
100,19.68,4.53,5.52,137.61,
125,24.33,4.65,5.38,130.43,
150,29.12,4.79,5.22,126.46,
175,34.11,4.99,5.01,125.52,
200,39.15,5.04,4.96,123.85,
225,44.22,5.07,4.93,122.45,
250,49.33,5.11,4.89,122.17,
275,54.47,5.14,4.87,120.48,
300,59.63,5.16,4.84,117.9,
325,01:04.9,5.24,4.77,118.94,
350,01:10.1,5.2,4.81,118.34,
375,01:15.4,5.3,4.72,117.39,
400,01:20.7,5.32,4.7,116.63,
425,01:26.1,5.39,4.64,116.73,
450,01:31.4,5.32,4.7,115.14,
475,01:36.8,5.41,4.62,113.92,
500,01:42.2,5.43,4.6,113.85,
525,01:47.7,5.5,4.55,115.38,
550,01:53.2,5.48,4.56,112.97,
575,01:58.8,5.56,4.49,111.52,
600,02:04.3,5.53,4.52,112.03,
625,02:09.9,5.59,4.47,109.98,
650,02:15.5,5.59,4.48,109.49,
675,02:21.1,5.58,4.48,110.2,
700,02:26.6,5.52,4.53,109.76,
725,02:32.3,5.68,4.4,109.31,
750,02:37.9,5.64,4.43,107.57,
775,02:43.5,5.58,4.48,106.51,
800,02:49.2,5.7,4.38,104.85,
825,02:54.9,5.69,4.39,103.65,
850,03:00.5,5.63,4.44,101.91,
875,03:06.2,5.71,4.38,103.45,
900,03:12.0,5.82,4.29,101.12,
925,03:17.8,5.76,4.34,100.75,
950,03:23.7,5.85,4.27,100.75,
975,03:29.3,5.68,4.4,99.59,
1000,03:35.1,5.82,4.3,98.16,
Av,,5.38,4.68,115.7,
