Race,,Dist,500,Time,01:37.8
Split,Time,Secs,Vel,SR,
25,6.42,6.42,3.9,118.03,
50,10.84,4.43,5.65,127.36,
75,14.98,4.13,6.05,116.34,
100,19.5,4.52,5.53,120,
125,24.11,4.61,5.42,116.79,
150,28.84,4.73,5.28,114.01,
175,33.63,4.79,5.22,115.66,
200,38.45,4.82,5.18,114.83,
225,43.06,4.61,5.42,120.54,
250,47.99,4.93,5.07,111.89,
275,52.97,4.98,5.02,112.68,
300,57.96,4.99,5.01,113.45,
325,01:02.9,4.95,5.05,115.38,
350,01:07.9,4.94,5.06,112.94,
375,01:12.6,4.76,5.25,105.49,
400,01:17.7,5.11,4.89,112.73,
425,01:22.7,5.02,4.98,117.36,
450,01:27.7,4.98,5.02,118.16,
475,01:32.7,4.99,5.01,121.08,
500,01:37.8,5.05,4.95,118.16,
Av,,4.89,5.15,116.14,
