Race,,Dist,500m,Time,02:04.3
Split,Time,Secs,Vel,SR,
25,7.37,7.37,3.39,123,
50,12.46,5.09,4.91,137,
75,17.78,5.32,4.7,130,
100,23.24,5.46,4.58,124,
125,29.04,5.79,4.31,119,
150,34.92,5.88,4.25,117,
175,41.01,6.08,4.11,114,
200,47.13,6.13,4.08,113,
225,53.39,6.26,4,112,
250,59.59,6.20,4.03,109,
275,01:05.9,6.31,3.96,108,
300,01:12.3,6.41,3.9,108,
325,01:18.7,6.43,3.89,109,
350,01:25.2,6.43,3.89,108,
375,01:31.6,6.48,3.86,108,
400,01:38.2,6.51,3.84,108,
425,01:44.6,6.40,3.91,109,
450,01:51.0,6.44,3.88,109,
475,01:57.6,6.63,3.77,107,
500,02:04.3,6.63,3.77,105,
Av,,6.21,4.05,114,
