Race,,Dist,500m,Time,01:45.7
Split,Time,Secs,Vel,SR,
25,6.21,6.21,4.03,134.72,
50,10.42,4.21,5.94,146.7,
75,14.69,4.28,5.85,141.73,
100,19.04,4.35,5.75,140.99,
125,23.5,4.46,5.6,135.34,
150,28.1,4.6,5.44,135.34,
175,32.76,4.66,5.36,133.33,
200,37.51,4.75,5.27,130.12,
225,42.44,4.93,5.07,126.58,
250,47.53,5.1,4.91,123.01,
275,52.75,5.22,4.79,120.97,
300,58.1,5.35,4.67,118.42,
325,01:03.6,5.49,4.55,116.96,
350,01:09.1,5.54,4.52,114.89,
375,01:14.8,5.65,4.42,112.57,
400,01:20.6,5.84,4.28,108.5,
425,01:26.6,6.03,4.15,102.47,
450,01:32.9,6.24,4.01,99.08,
475,01:39.3,6.36,3.93,97.24,
500,01:45.7,6.49,3.85,95.24,
Av,,5.29,4.82,121.71,
