Race,,Dist,1000,Time,220.35
Split,Time,Secs,Vel,SR,
25,6.58,6.58,3.8,132.49,
50,10.96,4.38,5.7,147.95,
75,15.48,4.51,5.54,141.51,
100,20,4.52,5.53,135.34,
125,24.81,4.81,5.2,132.45,
150,29.6,4.79,5.22,129.19,
175,34.43,4.83,5.18,127.06,
200,39.38,4.95,5.05,124.22,
225,44.52,5.14,4.87,120.81,
250,49.67,5.15,4.85,119.47,
275,54.86,5.19,4.82,118.11,
300,60.09,5.22,4.78,115.63,
325,65.39,5.3,4.72,113.92,
350,70.77,5.38,4.65,112.73,
375,76.16,5.4,4.63,111.11,
400,81.7,5.53,4.52,110.2,
425,87.21,5.51,4.54,109.53,
450,92.71,5.5,4.55,107.78,
475,98.32,5.61,4.45,107.14,
500,103.98,5.66,4.42,106.3,
525,109.55,5.56,4.49,104.8,
550,115.2,5.66,4.42,105.26,
575,120.85,5.65,4.43,103.85,
600,126.58,5.73,4.36,103.25,
625,132.42,5.83,4.29,99.45,
650,138.22,5.81,4.3,100,
675,143.92,5.7,4.39,105.47,
700,149.6,5.68,4.4,105.06,
725,155.29,5.69,4.39,102.66,
750,161.05,5.77,4.33,102.86,
775,166.83,5.78,4.33,102.27,
800,172.55,5.72,4.37,101.89,
825,178.35,5.8,4.31,99.79,
850,184.17,5.82,4.3,98.72,
875,190,5.83,4.29,98.77,
900,195.85,5.85,4.27,98.54,
925,201.81,5.96,4.19,96,
950,207.79,5.98,4.18,94.24,
975,213.91,6.12,4.09,90.91,
1000,220.35,6.44,3.88,85.37,
Av,,5.51,4.58,110.55,
