Race,,Dist,500,Time,02:10.4
Split,Time,Secs,Vel,SR,
25,7.63,7.63,3.28,110.48,
50,13.39,5.76,4.34,117.19,
75,19.31,5.92,4.22,111.52,
100,25.38,6.07,4.12,106.76,
125,31.52,6.14,4.07,104.17,
150,37.8,6.28,3.98,102.21,
175,44.18,6.38,3.92,101.31,
200,50.49,6.31,3.96,101.87,
225,56.96,6.47,3.86,99.5,
250,01:03.6,6.67,3.75,98.68,
275,01:10.3,6.64,3.76,98.2,
300,01:16.9,6.62,3.77,95.91,
325,01:23.6,6.71,3.72,93.6,
350,01:30.2,6.64,3.76,94.9,
375,01:36.9,6.67,3.75,94.64,
400,01:43.5,6.58,3.8,96.77,
425,01:50.2,6.68,3.74,95.39,
450,01:57.0,6.81,3.67,95.39,
475,02:03.7,6.73,3.71,95.54,
500,02:10.4,6.72,3.72,92.62,
Av,,6.52,3.85,100.33,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
